,nJet,MET_pt,MET_phi,MET_significance,MET_covXX,MET_covXY,MET_covYY,PV_chi2,PV_score,PV_x,PV_y,PV_z,nSV,GenMET_pt
nJet,1.0,0.10412443235407275,0.003219987103223557,-0.07520760334329629,0.5122358082418926,-0.004879549985343694,0.5146362786028157,0.0276434971102268,0.3172761663721949,0.0004923634777241186,0.003974180919599125,-0.00036470823446998693,0.06456943557723271,0.021205165412586893
MET_pt,0.10412443235407275,1.0,0.00915133996047317,0.9239646709366623,0.2567239341250178,-0.003907179719994544,0.2558169242020576,0.003950363390691029,-0.06135972233339942,0.002830620722618042,-0.0021057488063346824,-0.004479417250153535,-0.027940545746128084,0.03138626463734371
MET_phi,0.003219987103223557,0.00915133996047317,1.0,0.008867284107309182,0.0028451837360380975,-0.03234948464151027,7.657286862233224e-05,0.000239079919760095,0.00248571248720699,0.0003211940910004781,2.416191728924492e-05,0.002784426649069456,0.004331408289144333,0.002846516587567189
MET_significance,-0.07520760334329629,0.9239646709366623,0.008867284107309182,1.0,-0.07681988425252867,-0.002135847417314694,-0.07773380420355437,-0.008566512589452858,-0.06824970082284701,0.001498248850284437,-0.0035866563581181867,-0.005044614608921183,-0.0625321089471932,0.009811475980123151
MET_covXX,0.5122358082418926,0.2567239341250178,0.0028451837360380975,-0.07681988425252867,1.0,-0.005087294317081738,0.9215679459145423,0.03558618417654154,0.02053186852690667,0.0018623671463694872,0.003425768480022333,0.00033039364211759966,0.0962609749723969,0.06367417611325826
MET_covXY,-0.004879549985343694,-0.003907179719994544,-0.03234948464151027,-0.002135847417314694,-0.005087294317081738,1.0,-0.0027361605540240394,-0.00570257678660437,-0.00010135087599432859,-0.0003131190717999259,-0.0020390334729237626,-0.0036700224340261685,-0.0012720747656782248,0.0014178468856997062
MET_covYY,0.5146362786028157,0.2558169242020576,7.657286862233224e-05,-0.07773380420355437,0.9215679459145423,-0.0027361605540240394,1.0,0.03678026988134463,0.0197856042463059,0.0014262158315889106,0.004336631646825133,0.001680021509237094,0.09566567413676529,0.061759689060164456
PV_chi2,0.0276434971102268,0.003950363390691029,0.000239079919760095,-0.008566512589452858,0.03558618417654154,-0.00570257678660437,0.03678026988134463,1.0,0.025328319384867008,0.0014204857027897485,-0.0003556227200304573,0.012426026486211661,0.03864604327222812,0.02208613497426832
PV_score,0.3172761663721949,-0.06135972233339942,0.00248571248720699,-0.06824970082284701,0.02053186852690667,-0.00010135087599432859,0.0197856042463059,0.025328319384867008,1.0,-0.0017084261052767668,0.0034712736591163062,0.002842339855998236,-0.06483328303187581,-0.18798237047885574
PV_x,0.0004923634777241186,0.002830620722618042,0.0003211940910004781,0.001498248850284437,0.0018623671463694872,-0.0003131190717999259,0.0014262158315889106,0.0014204857027897485,-0.0017084261052767668,1.0,0.006947086353735904,-0.000968319129899374,-0.0014771027875846562,0.0018911157162754568
PV_y,0.003974180919599125,-0.0021057488063346824,2.416191728924492e-05,-0.0035866563581181867,0.003425768480022333,-0.0020390334729237626,0.004336631646825133,-0.0003556227200304573,0.0034712736591163062,0.006947086353735904,1.0,-0.005853809663483925,0.0037284463029586953,-0.0004923045255033909
PV_z,-0.00036470823446998693,-0.004479417250153535,0.002784426649069456,-0.005044614608921183,0.00033039364211759966,-0.0036700224340261685,0.001680021509237094,0.012426026486211661,0.002842339855998236,-0.000968319129899374,-0.005853809663483925,1.0,-0.0007425938126383651,-0.003642127057923454
nSV,0.06456943557723271,-0.027940545746128084,0.004331408289144333,-0.0625321089471932,0.0962609749723969,-0.0012720747656782248,0.09566567413676529,0.03864604327222812,-0.06483328303187581,-0.0014771027875846562,0.0037284463029586953,-0.0007425938126383651,1.0,0.31948909770864825
GenMET_pt,0.021205165412586893,0.03138626463734371,0.002846516587567189,0.009811475980123151,0.06367417611325826,0.0014178468856997062,0.061759689060164456,0.02208613497426832,-0.18798237047885574,0.0018911157162754568,-0.0004923045255033909,-0.003642127057923454,0.31948909770864825,1.0
