feature,mean_abs_shap
MET_pt,19.892218392178417
Jet_pt_st,8.390935933724046
Jet_pt_nd,3.2390956791508945
PV_score,2.469300394833088
MET_sumPtUnclustered,2.3262757980991156
Jet_eta_st,1.5821578790443018
fixedGridRhoFastjetCentralChargedPileUp,1.1992345854206943
Jet_mass_nd,1.1545938463667407
MET_phi,1.1025103149022908
Jet_pt_fourth,1.0555383148458786
Jet_pt_sixth,1.0114554658234118
MET_significance,0.959507408207748
fixedGridRhoFastjetAll,0.872328675564524
Jet_phi_st,0.84048508720682
PV_npvsGood,0.82323667818564
Jet_phi_nd,0.820857775577344
nJet,0.8088754894472658
Jet_pt_rd,0.8064922468438744
PV_npvs,0.8047497461321764
MET_covXX,0.780162013694644
MET_sumEt,0.7483522712507984
Jet_mass_st,0.6720896311418619
fixedGridRhoFastjetCentral,0.6539106841753092
MET_covYY,0.5739933934928558
fixedGridRhoFastjetCentralCalo,0.5406223467299714
Jet_mass_rd,0.5107369628315791
Jet_mass_sixth,0.5087853394910926
nSV,0.5003499116076855
Jet_eta_fourth,0.41042840374913064
Jet_eta_nd,0.4054357971753925
Jet_phi_fourth,0.39911846106965093
Jet_mass_fourth,0.38674892038677355
PV_ndof,0.38089503593137486
fixedGridRhoFastjetCentralNeutral,0.3757967643069569
Jet_phi_rd,0.3674679430657998
Jet_phi_fifth,0.36682717178575697
Jet_pt_fifth,0.3628844797525089
Jet_mass_fifth,0.3332733386250911
MET_covXY,0.32150375043269014
PV_z,0.28240484037227
Jet_eta_rd,0.25969747475208715
Jet_eta_sixth,0.21230907524068607
PV_x,0.18570199513278204
Jet_phi_sixth,0.18179172608768568
Jet_eta_fifth,0.18103716925618937
PV_y,0.16467404476023512
PV_chi2,0.02237374109699158
