architecture,batch_size,learning_rate,avg_rmse,std_rmse,avg_target_train_loss,rmse_fold1,rmse_fold2,rmse_fold3
"(256, 128)",2048,0.001,18.228388761243306,0.08069168717640786,312.5953369140625,18.259786500422607,18.30770230689442,18.117677476412883
"(512, 256)",2048,0.001,18.229686948443216,0.06930848017669775,305.8827616373698,18.249282084518857,18.3030610169063,18.136717743904494
"(512, 256)",1024,0.001,18.231047511073125,0.0845626443273363,307.5898030598958,18.24191779230191,18.328751300853387,18.122473440064084
"(256, 128)",1024,0.001,18.235035088440814,0.08304649985307315,309.5192464192708,18.261594142300574,18.320831513186025,18.12267960983584
"(128, 64)",1024,0.001,18.247433826824295,0.09709330253614577,305.6403096516927,18.224828981145208,18.376028320196898,18.141444179130783
"(128, 64)",2048,0.001,18.285977460904594,0.041382543585365,312.4993082682292,18.284086703588706,18.337579439803484,18.236266239321587
